Production rate ,Average Size of DRI,Metallization,Temperature before reduction zone (C ),"Temperature after reduction zone (C ) = bottom layer temp 7,10,13,16",Fe,Carbon
180,11.65,91.9,281.4,856,84.9,1.6
179,11.79,91.6,285.5,856,84.9,1.6
175,11.23,92.1,276.1,856,85.2,1.6
178,12.05,92.0,291.7,857,85.0,1.7
177,12.06,91.1,292.6,857,85.0,1.7
169,11.66,91.2,276.4,865,85.0,1.7
178,11.74,92.0,245.9,870,85.4,1.6
180,11.6,92.1,259.0,877,85.6,1.6
80,11.72,91.6,332.4,802,84.8,1.4
172,11.37,91.4,267.8,873,85.1,1.7
173,11.05,91.9,251.6,875,84.9,1.7
174,11.7,92.0,243.0,870,85.2,1.7
