Flow rate ,Temperature ,Pressure ,H2,CO ,CO2,CH4,N2
248,893,1.46,58.12,36.31,2.45,2.41,0.71
254,898,1.48,58.63,35.9,2.37,2.45,0.65
253,899,1.49,58.38,36.03,2.47,2.51,0.6
254,904,1.48,58.88,35.31,2.66,2.51,0.64
249,904,1.48,58.61,35.82,2.43,2.4,0.74
251,912,1.46,58.32,35.78,2.58,2.6,0.71
254,898,1.5,58.71,35.55,2.53,2.61,0.6
250,885,1.48,58.39,35.96,2.49,2.47,0.69
253,885,1.51,58.54,35.95,2.46,2.48,0.57
253,890,1.46,59.26,35.0,2.49,2.44,0.81
256,888,1.5,58.32,36.18,2.37,2.43,0.69
256,885,1.51,58.3,36.16,2.42,2.36,0.75
258,886,1.5,58.11,36.3,2.51,2.36,0.72
256,890,1.51,58.6,36.02,2.41,2.23,0.74
249,888,1.52,58.44,36.17,2.44,2.26,0.69
254,885,1.51,58.22,36.43,2.44,2.24,0.67
254,886,1.51,59.13,35.67,2.41,2.11,0.68
255,890,1.52,58.39,36.21,2.45,2.33,0.62
255,890,1.51,58.36,36.28,2.44,2.34,0.58
